customer_id,age,tenure_months,monthly_charges,support_calls,contract,internet_service,churn
1,54,5,75.76,9,Month-to-month,DSL,1
2,49,36,104.95,2,Month-to-month,No,1
3,22,32,143.81,5,Month-to-month,Fiber optic,0
4,56,46,69.61,4,Two year,Fiber optic,0
5,61,39,106.04,2,One year,DSL,0
6,57,49,25.75,0,Month-to-month,DSL,1
7,37,69,67.6,3,One year,No,0
8,45,61,28.45,9,One year,No,0
9,32,53,50.99,0,One year,Fiber optic,0
10,60,10,89.35,1,Month-to-month,Fiber optic,1
11,41,20,34.68,1,One year,DSL,0
12,30,45,76.32,6,One year,DSL,0
13,27,67,43.2,1,One year,Fiber optic,0
14,60,23,121.08,7,One year,Fiber optic,0
15,18,70,112.63,5,One year,DSL,0
16,46,52,95.77,6,One year,No,0
17,65,68,149.0,4,Two year,Fiber optic,0
18,22,22,83.62,7,One year,DSL,0
19,55,45,90.03,7,Two year,DSL,0
20,24,54,127.78,0,One year,No,0
21,40,12,39.76,9,One year,Fiber optic,1
22,73,56,120.7,7,One year,No,0
23,68,59,75.03,10,Two year,No,0
24,33,42,100.48,10,Month-to-month,No,0
25,54,62,23.24,1,One year,Fiber optic,0
26,33,38,135.53,0,Two year,No,0
27,24,37,41.14,7,Month-to-month,Fiber optic,1
28,68,25,148.16,2,Month-to-month,No,1
29,31,13,108.97,4,One year,No,0
30,70,67,113.92,7,Two year,No,0
31,35,47,35.07,10,Month-to-month,DSL,1
32,44,49,133.27,10,Month-to-month,DSL,0
33,69,12,127.11,5,One year,Fiber optic,0
34,66,25,101.75,4,One year,No,0
35,49,65,138.04,6,One year,No,0
36,64,36,82.74,7,One year,No,0
37,62,70,113.58,6,Month-to-month,No,0
38,64,9,97.42,4,Month-to-month,No,1
39,38,10,116.26,9,One year,Fiber optic,0
40,33,22,60.0,8,Month-to-month,DSL,1
41,22,54,44.92,9,One year,No,1
42,30,44,130.24,9,Month-to-month,No,0
43,54,42,133.13,10,Two year,No,1
44,54,47,131.77,6,One year,No,0
45,67,21,35.26,5,Month-to-month,DSL,0
46,52,66,124.71,1,One year,Fiber optic,0
47,40,8,38.92,7,Two year,Fiber optic,0
48,64,57,148.18,2,One year,Fiber optic,0
49,39,72,86.67,6,Month-to-month,DSL,0
50,27,6,141.19,2,Two year,No,0
51,45,47,92.69,0,Two year,DSL,0
52,32,7,95.4,1,Two year,No,0
53,29,39,143.16,0,One year,No,0
54,22,45,118.74,7,Month-to-month,DSL,1
55,66,60,142.34,5,Month-to-month,DSL,0
56,29,54,39.91,10,Two year,Fiber optic,0
57,43,16,50.56,6,Two year,No,0
58,36,69,104.44,1,One year,No,0
59,56,32,89.23,0,Two year,DSL,0
60,42,30,32.6,10,One year,DSL,0
61,43,28,57.35,1,Month-to-month,No,0
62,51,4,29.73,0,Month-to-month,No,0
63,39,23,114.51,5,One year,No,0
64,68,22,22.45,2,One year,DSL,0
65,33,50,99.91,9,Two year,Fiber optic,0
66,66,4,36.3,1,Month-to-month,DSL,0
67,67,23,36.2,6,Month-to-month,DSL,0
68,65,24,101.14,0,Two year,DSL,1
69,42,59,79.19,2,Month-to-month,Fiber optic,0
70,49,47,106.58,2,One year,Fiber optic,0
71,47,2,39.97,1,Two year,Fiber optic,0
72,24,69,35.65,9,One year,DSL,0
73,58,67,75.59,8,Month-to-month,No,1
74,21,8,104.02,8,Month-to-month,DSL,1
75,73,54,39.62,0,One year,No,0
76,25,62,58.94,7,Month-to-month,No,1
77,43,20,78.68,2,One year,No,0
78,27,6,83.67,6,Month-to-month,Fiber optic,1
79,31,64,87.58,10,Two year,No,0
80,75,41,116.02,5,Month-to-month,DSL,1
81,61,43,146.03,8,Month-to-month,Fiber optic,1
82,68,11,138.78,0,Month-to-month,DSL,0
83,41,56,48.79,7,Two year,No,0
84,23,14,28.82,5,One year,Fiber optic,0
85,65,17,119.28,6,Two year,No,0
86,61,31,113.52,6,Month-to-month,No,1
87,61,50,122.47,3,Month-to-month,No,0
88,27,69,36.93,10,One year,Fiber optic,0
89,31,2,79.04,10,Month-to-month,Fiber optic,1
90,31,32,63.42,9,One year,DSL,1
91,44,46,64.42,5,Two year,Fiber optic,0
92,67,7,72.85,4,One year,DSL,0
93,25,54,75.85,1,Month-to-month,Fiber optic,1
94,68,10,126.57,8,Month-to-month,DSL,1
95,64,71,53.79,7,Month-to-month,Fiber optic,0
96,66,53,130.62,3,One year,DSL,0
97,47,64,110.43,4,Two year,No,0
98,28,30,81.4,9,One year,Fiber optic,0
99,65,71,138.16,9,Month-to-month,No,0
100,58,60,59.45,3,Month-to-month,Fiber optic,0
101,51,4,90.41,0,Month-to-month,DSL,1
102,66,40,41.41,3,Month-to-month,DSL,0
103,20,65,51.91,0,Month-to-month,No,0
104,67,46,22.88,10,Two year,Fiber optic,0
105,27,33,25.44,10,Two year,No,0
106,25,66,112.77,7,One year,Fiber optic,0
107,45,43,97.66,4,One year,DSL,0
108,60,47,83.17,6,One year,Fiber optic,1
109,55,25,91.39,5,One year,DSL,1
110,64,55,114.18,0,Two year,DSL,0
111,48,47,71.18,6,Month-to-month,DSL,0
112,54,10,83.88,0,Two year,Fiber optic,0
113,67,12,51.84,10,Month-to-month,DSL,1
114,75,72,44.8,6,Two year,DSL,0
115,30,30,114.06,5,One year,No,0
116,69,26,124.28,10,Two year,DSL,0
117,51,24,44.6,6,Two year,No,0
118,56,65,139.38,9,One year,Fiber optic,0
119,74,23,124.01,7,Month-to-month,Fiber optic,1
120,50,14,74.83,8,Two year,DSL,0
121,24,9,55.15,4,Two year,No,0
122,36,69,67.86,2,One year,No,0
123,72,17,111.12,0,One year,No,0
124,43,3,41.25,2,One year,DSL,0
125,22,22,30.17,10,Two year,Fiber optic,0
126,58,8,77.43,8,Month-to-month,No,0
127,20,57,135.63,8,One year,No,0
128,65,47,57.97,2,One year,No,0
129,22,34,111.68,4,Two year,Fiber optic,0
130,53,14,142.48,10,One year,Fiber optic,0
131,43,22,55.69,2,Two year,No,0
132,18,57,118.69,5,One year,Fiber optic,0
133,75,25,108.58,10,Month-to-month,DSL,1
134,55,22,93.56,8,Month-to-month,DSL,1
135,40,60,118.66,4,One year,DSL,0
136,69,46,130.19,10,Month-to-month,No,1
137,46,70,108.48,9,Two year,Fiber optic,0
138,36,7,129.93,6,Two year,No,0
139,56,8,68.61,7,One year,Fiber optic,0
140,52,63,140.88,5,One year,No,0
141,48,24,126.29,3,One year,Fiber optic,0
142,35,14,64.22,1,Month-to-month,Fiber optic,1
143,29,70,108.61,2,Month-to-month,No,0
144,58,21,64.54,3,Two year,No,0
145,28,41,21.24,7,Month-to-month,Fiber optic,1
146,67,62,93.64,0,Two year,Fiber optic,0
147,51,14,39.58,10,Two year,Fiber optic,0
148,37,7,70.77,2,Month-to-month,Fiber optic,1
149,72,2,82.36,6,Two year,No,0
150,58,3,23.96,9,Month-to-month,No,0
151,43,25,96.91,9,Two year,Fiber optic,0
152,39,70,49.15,9,Two year,DSL,0
153,71,2,124.06,0,Month-to-month,DSL,1
154,65,10,83.61,0,One year,Fiber optic,0
155,58,28,43.01,9,Month-to-month,No,0
156,19,38,40.12,8,Two year,Fiber optic,0
157,70,17,81.4,4,Two year,DSL,0
158,63,61,58.01,0,One year,Fiber optic,0
159,22,11,65.85,6,Month-to-month,DSL,0
160,61,72,147.98,10,Month-to-month,DSL,1
161,32,54,135.23,1,One year,DSL,0
162,41,43,140.51,9,Two year,No,0
163,42,33,139.54,0,Two year,No,1
164,32,72,29.1,8,Two year,Fiber optic,0
165,60,70,24.58,5,Two year,No,0
166,38,22,40.55,7,Month-to-month,No,1
167,38,7,102.85,0,Two year,Fiber optic,1
168,65,47,26.91,9,Month-to-month,Fiber optic,1
169,52,3,99.04,8,Two year,Fiber optic,0
170,63,70,102.65,6,Two year,Fiber optic,0
171,64,1,139.06,10,Month-to-month,Fiber optic,0
172,30,46,144.52,10,Two year,Fiber optic,0
173,24,58,38.57,6,Two year,Fiber optic,0
174,37,32,96.3,6,Month-to-month,DSL,1
175,67,27,40.58,1,One year,Fiber optic,0
176,29,8,144.25,1,Month-to-month,Fiber optic,1
177,22,72,107.21,7,One year,DSL,0
178,52,14,130.44,3,Two year,No,0
179,22,49,104.0,1,One year,No,0
180,63,30,51.29,2,One year,No,0
181,66,38,46.16,0,One year,DSL,0
182,34,19,117.9,2,Two year,No,0
183,69,37,106.37,9,Two year,No,0
184,43,27,83.96,1,One year,DSL,0
185,52,13,38.77,3,One year,DSL,0
186,69,8,110.38,6,Two year,No,0
187,67,13,138.8,6,One year,DSL,0
188,75,55,60.78,7,Two year,No,0
189,19,28,140.69,10,Two year,DSL,1
190,57,19,142.31,4,One year,Fiber optic,0
191,40,7,107.92,8,Month-to-month,No,1
192,34,63,75.07,6,Two year,Fiber optic,0
193,44,42,147.44,8,Month-to-month,Fiber optic,1
194,20,3,118.24,7,One year,DSL,0
195,20,58,118.07,0,One year,No,0
196,33,14,90.47,10,Month-to-month,No,1
197,41,21,112.66,0,Two year,Fiber optic,0
198,63,60,103.45,10,Month-to-month,Fiber optic,1
199,29,22,37.46,3,Month-to-month,Fiber optic,1
200,69,13,29.57,0,Month-to-month,Fiber optic,0
201,22,27,117.48,1,Month-to-month,DSL,0
202,54,48,41.42,4,One year,DSL,0
203,31,56,46.03,7,One year,No,0
204,37,58,119.68,5,Month-to-month,Fiber optic,1
205,24,53,73.4,6,Month-to-month,Fiber optic,1
206,67,45,38.32,1,Month-to-month,Fiber optic,0
207,29,31,140.24,0,One year,Fiber optic,0
208,43,67,28.34,4,Two year,No,0
209,70,51,52.36,0,Two year,Fiber optic,0
210,72,39,51.47,3,Month-to-month,DSL,1
211,34,34,81.1,5,Month-to-month,No,0
212,53,52,109.37,1,One year,Fiber optic,0
213,66,54,96.86,0,Two year,Fiber optic,0
214,50,14,76.57,9,Two year,DSL,0
215,25,64,94.3,6,Month-to-month,Fiber optic,0
216,26,35,65.59,4,Two year,No,0
217,60,13,76.14,5,Month-to-month,Fiber optic,0
218,57,56,35.26,7,One year,Fiber optic,0
219,27,6,22.23,8,Two year,Fiber optic,0
220,45,34,39.34,6,One year,DSL,0
221,41,59,90.68,5,One year,DSL,0
222,27,65,126.69,10,One year,DSL,0
223,31,65,122.74,2,Month-to-month,DSL,1
224,39,42,118.39,5,Month-to-month,Fiber optic,1
225,28,13,108.96,0,Two year,No,0
226,54,34,31.47,9,Two year,No,0
227,41,18,120.39,1,Two year,Fiber optic,0
228,47,56,126.91,1,Month-to-month,No,1
229,46,46,72.78,10,Month-to-month,Fiber optic,1
